 data_base |    table_schema    |              table_name               
 pgwatch2  | pg_catalog         | pg_class
 pgwatch2  | pg_catalog         | pg_collation
 pgwatch2  | pg_catalog         | pg_config
 pgwatch2  | pg_catalog         | pg_constraint
 pgwatch2  | pg_catalog         | pg_conversion
 pgwatch2  | pg_catalog         | pg_cursors
 pgwatch2  | pg_catalog         | pg_database
 pgwatch2  | pg_catalog         | pg_db_role_setting
 pgwatch2  | pg_catalog         | pg_default_acl
 pgwatch2  | pg_catalog         | pg_depend
 pgwatch2  | pg_catalog         | pg_description
 pgwatch2  | pg_catalog         | pg_enum
 pgwatch2  | pg_catalog         | pg_event_trigger
 pgwatch2  | pg_catalog         | pg_extension
 pgwatch2  | pg_catalog         | pg_file_settings
 pgwatch2  | pg_catalog         | pg_foreign_data_wrapper
 pgwatch2  | pg_catalog         | pg_foreign_server
 pgwatch2  | pg_catalog         | pg_foreign_table
 pgwatch2  | pg_catalog         | pg_group
 pgwatch2  | pg_catalog         | pg_hba_file_rules
 pgwatch2  | pg_catalog         | pg_index
 pgwatch2  | pg_catalog         | pg_indexes
 pgwatch2  | pg_catalog         | pg_inherits
 pgwatch2  | pg_catalog         | pg_init_privs
 pgwatch2  | pg_catalog         | pg_language
 pgwatch2  | pg_catalog         | pg_largeobject
 pgwatch2  | pg_catalog         | pg_largeobject_metadata
 pgwatch2  | pg_catalog         | pg_locks
 pgwatch2  | pg_catalog         | pg_matviews
 pgwatch2  | pg_catalog         | pg_namespace
 pgwatch2  | pg_catalog         | pg_opclass
 pgwatch2  | pg_catalog         | pg_operator
 pgwatch2  | pg_catalog         | pg_opfamily
 pgwatch2  | pg_catalog         | pg_partitioned_table
 pgwatch2  | pg_catalog         | pg_pltemplate
 pgwatch2  | pg_catalog         | pg_policies
 pgwatch2  | pg_catalog         | pg_policy
 pgwatch2  | pg_catalog         | pg_prepared_statements
 pgwatch2  | pg_catalog         | pg_prepared_xacts
 pgwatch2  | pg_catalog         | pg_proc
 pgwatch2  | pg_catalog         | pg_publication
 pgwatch2  | pg_catalog         | pg_publication_rel
 pgwatch2  | pg_catalog         | pg_publication_tables
 pgwatch2  | pg_catalog         | pg_range
 pgwatch2  | pg_catalog         | pg_replication_origin
 pgwatch2  | pg_catalog         | pg_replication_origin_status
 pgwatch2  | pg_catalog         | pg_replication_slots
 pgwatch2  | pg_catalog         | pg_rewrite
 pgwatch2  | pg_catalog         | pg_roles
 pgwatch2  | pg_catalog         | pg_rules
 pgwatch2  | pg_catalog         | pg_seclabel
 pgwatch2  | pg_catalog         | pg_seclabels
 pgwatch2  | pg_catalog         | pg_sequence
 pgwatch2  | pg_catalog         | pg_sequences
 pgwatch2  | pg_catalog         | pg_settings
 pgwatch2  | pg_catalog         | pg_shadow
 pgwatch2  | pg_catalog         | pg_shdepend
 pgwatch2  | pg_catalog         | pg_shdescription
 pgwatch2  | pg_catalog         | pg_shseclabel
 pgwatch2  | pg_catalog         | pg_stat_activity
 pgwatch2  | pg_catalog         | pg_stat_all_indexes
 pgwatch2  | pg_catalog         | pg_stat_all_tables
 pgwatch2  | pg_catalog         | pg_stat_archiver
 pgwatch2  | pg_catalog         | pg_stat_bgwriter
 pgwatch2  | pg_catalog         | pg_stat_database
 pgwatch2  | pg_catalog         | pg_stat_database_conflicts
 pgwatch2  | pg_catalog         | pg_statio_all_indexes
 pgwatch2  | pg_catalog         | pg_statio_all_sequences
 pgwatch2  | pg_catalog         | pg_statio_all_tables
 pgwatch2  | pg_catalog         | pg_statio_sys_indexes
 pgwatch2  | pg_catalog         | pg_statio_sys_sequences
 pgwatch2  | pg_catalog         | pg_statio_sys_tables
 pgwatch2  | pg_catalog         | pg_statio_user_indexes
 pgwatch2  | pg_catalog         | pg_statio_user_sequences
 pgwatch2  | pg_catalog         | pg_statio_user_tables
 pgwatch2  | pg_catalog         | pg_statistic
 pgwatch2  | pg_catalog         | pg_statistic_ext
 pgwatch2  | pg_catalog         | pg_stat_progress_vacuum
 pgwatch2  | pg_catalog         | pg_stat_replication
 pgwatch2  | pg_catalog         | pg_stats
 pgwatch2  | pg_catalog         | pg_stat_ssl
 pgwatch2  | pg_catalog         | pg_stat_subscription
 pgwatch2  | pg_catalog         | pg_stat_sys_indexes
 pgwatch2  | pg_catalog         | pg_stat_sys_tables
 pgwatch2  | pg_catalog         | pg_stat_user_functions
 pgwatch2  | pg_catalog         | pg_stat_user_indexes
 pgwatch2  | pg_catalog         | pg_stat_user_tables
 pgwatch2  | pg_catalog         | pg_stat_wal_receiver
 pgwatch2  | pg_catalog         | pg_stat_xact_all_tables
 pgwatch2  | pg_catalog         | pg_stat_xact_sys_tables
 pgwatch2  | pg_catalog         | pg_stat_xact_user_functions
 pgwatch2  | pg_catalog         | pg_stat_xact_user_tables
 pgwatch2  | pg_catalog         | pg_subscription
 pgwatch2  | pg_catalog         | pg_subscription_rel
 pgwatch2  | pg_catalog         | pg_tables
 pgwatch2  | pg_catalog         | pg_tablespace
 pgwatch2  | pg_catalog         | pg_timezone_abbrevs
 pgwatch2  | pg_catalog         | pg_timezone_names
 pgwatch2  | pg_catalog         | pg_transform
 pgwatch2  | pg_catalog         | pg_trigger
 pgwatch2  | pg_catalog         | pg_ts_config
 pgwatch2  | pg_catalog         | pg_ts_config_map
 pgwatch2  | pg_catalog         | pg_ts_dict
 pgwatch2  | pg_catalog         | pg_ts_parser
 pgwatch2  | pg_catalog         | pg_ts_template
 pgwatch2  | pg_catalog         | pg_type
 pgwatch2  | pg_catalog         | pg_user
 pgwatch2  | pg_catalog         | pg_user_mapping
 pgwatch2  | pg_catalog         | pg_user_mappings
 pgwatch2  | pg_catalog         | pg_views
 pgwatch2  | pgwatch2           | metric
 pgwatch2  | pgwatch2           | monitored_db
 pgwatch2  | pgwatch2           | preset_config
(193 rows)

   data_base    |    table_schema    |               table_name               
----------------+--------------------+----------------------------------------
 sabia_producao | information_schema | administrable_role_authorizations
 sabia_producao | information_schema | applicable_roles
 sabia_producao | information_schema | attributes
 sabia_producao | information_schema | character_sets
 sabia_producao | information_schema | check_constraint_routine_usage
 sabia_producao | information_schema | check_constraints
 sabia_producao | information_schema | collation_character_set_applicability
 sabia_producao | information_schema | collations
 sabia_producao | information_schema | column_domain_usage
 sabia_producao | information_schema | column_options
 sabia_producao | information_schema | column_privileges
 sabia_producao | information_schema | columns
 sabia_producao | information_schema | column_udt_usage
 sabia_producao | information_schema | constraint_column_usage
 sabia_producao | information_schema | constraint_table_usage
 sabia_producao | information_schema | data_type_privileges
 sabia_producao | information_schema | domain_constraints
 sabia_producao | information_schema | domains
 sabia_producao | information_schema | domain_udt_usage
 sabia_producao | information_schema | element_types
 sabia_producao | information_schema | enabled_roles
 sabia_producao | information_schema | foreign_data_wrapper_options
 sabia_producao | information_schema | foreign_data_wrappers
 sabia_producao | information_schema | foreign_server_options
 sabia_producao | information_schema | foreign_servers
 sabia_producao | information_schema | foreign_table_options
 sabia_producao | information_schema | foreign_tables
 sabia_producao | information_schema | information_schema_catalog_name
 sabia_producao | information_schema | key_column_usage
 sabia_producao | information_schema | parameters
 sabia_producao | information_schema | _pg_foreign_data_wrappers
 sabia_producao | information_schema | _pg_foreign_servers
 sabia_producao | information_schema | _pg_foreign_table_columns
 sabia_producao | information_schema | _pg_foreign_tables
 sabia_producao | information_schema | _pg_user_mappings
 sabia_producao | information_schema | referential_constraints
 sabia_producao | information_schema | role_column_grants
 sabia_producao | information_schema | role_routine_grants
 sabia_producao | information_schema | role_table_grants
 sabia_producao | information_schema | role_udt_grants
 sabia_producao | information_schema | role_usage_grants
 sabia_producao | information_schema | routine_privileges
 sabia_producao | information_schema | routines
 sabia_producao | information_schema | schemata
 sabia_producao | information_schema | sequences
 sabia_producao | information_schema | sql_features
 sabia_producao | information_schema | sql_implementation_info
 sabia_producao | information_schema | sql_languages
 sabia_producao | information_schema | sql_packages
 sabia_producao | information_schema | sql_parts
 sabia_producao | information_schema | sql_sizing
 sabia_producao | information_schema | sql_sizing_profiles
 sabia_producao | information_schema | table_constraints
 sabia_producao | information_schema | table_privileges
 sabia_producao | information_schema | tables
 sabia_producao | information_schema | transforms
 sabia_producao | information_schema | triggered_update_columns
 sabia_producao | information_schema | triggers
 sabia_producao | information_schema | udt_privileges
 sabia_producao | information_schema | usage_privileges
 sabia_producao | information_schema | user_defined_types
 sabia_producao | information_schema | user_mapping_options
 sabia_producao | information_schema | user_mappings
 sabia_producao | information_schema | view_column_usage
 sabia_producao | information_schema | view_routine_usage
 sabia_producao | information_schema | views
 sabia_producao | information_schema | view_table_usage
 sabia_producao | pg_catalog         | pg_aggregate
 sabia_producao | pg_catalog         | pg_am
 sabia_producao | pg_catalog         | pg_amop
 sabia_producao | pg_catalog         | pg_amproc
 sabia_producao | pg_catalog         | pg_attrdef
 sabia_producao | pg_catalog         | pg_attribute
 sabia_producao | pg_catalog         | pg_authid
 sabia_producao | pg_catalog         | pg_auth_members
 sabia_producao | pg_catalog         | pg_available_extensions
 sabia_producao | pg_catalog         | pg_available_extension_versions
 sabia_producao | pg_catalog         | pg_cast
 sabia_producao | pg_catalog         | pg_class
 sabia_producao | pg_catalog         | pg_collation
 sabia_producao | pg_catalog         | pg_config
 sabia_producao | pg_catalog         | pg_constraint
 sabia_producao | pg_catalog         | pg_conversion
 sabia_producao | pg_catalog         | pg_cursors
 sabia_producao | pg_catalog         | pg_database
 sabia_producao | pg_catalog         | pg_db_role_setting
 sabia_producao | pg_catalog         | pg_default_acl
 sabia_producao | pg_catalog         | pg_depend
 sabia_producao | pg_catalog         | pg_description
 sabia_producao | pg_catalog         | pg_enum
 sabia_producao | pg_catalog         | pg_event_trigger
 sabia_producao | pg_catalog         | pg_extension
 sabia_producao | pg_catalog         | pg_file_settings
 sabia_producao | pg_catalog         | pg_foreign_data_wrapper
 sabia_producao | pg_catalog         | pg_foreign_server
 sabia_producao | pg_catalog         | pg_foreign_table
 sabia_producao | pg_catalog         | pg_group
 sabia_producao | pg_catalog         | pg_hba_file_rules
 sabia_producao | pg_catalog         | pg_index
 sabia_producao | pg_catalog         | pg_indexes
 sabia_producao | pg_catalog         | pg_inherits
 sabia_producao | pg_catalog         | pg_init_privs
 sabia_producao | pg_catalog         | pg_language
 sabia_producao | pg_catalog         | pg_largeobject
 sabia_producao | pg_catalog         | pg_largeobject_metadata
 sabia_producao | pg_catalog         | pg_locks
 sabia_producao | pg_catalog         | pg_matviews
 sabia_producao | pg_catalog         | pg_namespace
 sabia_producao | pg_catalog         | pg_opclass
 sabia_producao | pg_catalog         | pg_operator
 sabia_producao | pg_catalog         | pg_opfamily
 sabia_producao | pg_catalog         | pg_partitioned_table
 sabia_producao | pg_catalog         | pg_pltemplate
 sabia_producao | pg_catalog         | pg_policies
 sabia_producao | pg_catalog         | pg_policy
 sabia_producao | pg_catalog         | pg_prepared_statements
 sabia_producao | pg_catalog         | pg_prepared_xacts
 sabia_producao | pg_catalog         | pg_proc
 sabia_producao | pg_catalog         | pg_publication
 sabia_producao | pg_catalog         | pg_publication_rel
 sabia_producao | pg_catalog         | pg_publication_tables
 sabia_producao | pg_catalog         | pg_range
 sabia_producao | pg_catalog         | pg_replication_origin
 sabia_producao | pg_catalog         | pg_replication_origin_status
 sabia_producao | pg_catalog         | pg_replication_slots
 sabia_producao | pg_catalog         | pg_rewrite
 sabia_producao | pg_catalog         | pg_roles
 sabia_producao | pg_catalog         | pg_rules
 sabia_producao | pg_catalog         | pg_seclabel
 sabia_producao | pg_catalog         | pg_seclabels
 sabia_producao | pg_catalog         | pg_sequence
 sabia_producao | pg_catalog         | pg_sequences
 sabia_producao | pg_catalog         | pg_settings
 sabia_producao | pg_catalog         | pg_shadow
 sabia_producao | pg_catalog         | pg_shdepend
 sabia_producao | pg_catalog         | pg_shdescription
 sabia_producao | pg_catalog         | pg_shseclabel
 sabia_producao | pg_catalog         | pg_stat_activity
 sabia_producao | pg_catalog         | pg_stat_all_indexes
 sabia_producao | pg_catalog         | pg_stat_all_tables
 sabia_producao | pg_catalog         | pg_stat_archiver
 sabia_producao | pg_catalog         | pg_stat_bgwriter
 sabia_producao | pg_catalog         | pg_stat_database
 sabia_producao | pg_catalog         | pg_stat_database_conflicts
 sabia_producao | pg_catalog         | pg_statio_all_indexes
 sabia_producao | pg_catalog         | pg_statio_all_sequences
 sabia_producao | pg_catalog         | pg_statio_all_tables
 sabia_producao | pg_catalog         | pg_statio_sys_indexes
 sabia_producao | pg_catalog         | pg_statio_sys_sequences
 sabia_producao | pg_catalog         | pg_statio_sys_tables
 sabia_producao | pg_catalog         | pg_statio_user_indexes
 sabia_producao | pg_catalog         | pg_statio_user_sequences
 sabia_producao | pg_catalog         | pg_statio_user_tables
 sabia_producao | pg_catalog         | pg_statistic
 sabia_producao | pg_catalog         | pg_statistic_ext
 sabia_producao | pg_catalog         | pg_stat_progress_vacuum
 sabia_producao | pg_catalog         | pg_stat_replication
 sabia_producao | pg_catalog         | pg_stats
 sabia_producao | pg_catalog         | pg_stat_ssl
 sabia_producao | pg_catalog         | pg_stat_subscription
 sabia_producao | pg_catalog         | pg_stat_sys_indexes
 sabia_producao | pg_catalog         | pg_stat_sys_tables
 sabia_producao | pg_catalog         | pg_stat_user_functions
 sabia_producao | pg_catalog         | pg_stat_user_indexes
 sabia_producao | pg_catalog         | pg_stat_user_tables
 sabia_producao | pg_catalog         | pg_stat_wal_receiver
 sabia_producao | pg_catalog         | pg_stat_xact_all_tables
 sabia_producao | pg_catalog         | pg_stat_xact_sys_tables
 sabia_producao | pg_catalog         | pg_stat_xact_user_functions
